date,value
2021-01-28,1000000.0,1000000.0
2021-01-29,919703.0,1432867.924528302
2021-01-30,919703.0,1432867.924528302
2021-01-31,919703.0,1432867.924528302
2021-02-01,1008113.0,1194566.0377358492
2021-02-02,1377293.0,531169.8113207547
2021-02-03,1417543.0,422679.2452830189
2021-02-04,1461265.0,344113.2075471698
2021-02-05,1565285.0,203924.5283018868
2021-02-06,1565285.0,203924.5283018868
2021-02-07,1565285.0,203924.5283018868
2021-02-08,1500990.0,273245.2830188679
2021-02-09,1545230.0,213622.64150943398
2021-02-10,1557494.0,191584.90566037738
2021-02-11,1559622.0,188716.98113207548
2021-02-12,1557550.0,191509.43396226416
2021-02-13,1557550.0,191509.43396226416
2021-02-14,1557550.0,191509.43396226416
2021-02-15,1557550.0,191509.43396226416
2021-02-16,1550865.0,198716.98113207545
2021-02-17,1563003.0,187811.320754717
2021-02-18,1569275.0,182981.13207547172
2021-02-19,1609651.0,155773.5849056604
2021-02-20,1609651.0,155773.5849056604
2021-02-21,1609651.0,155773.5849056604
2021-02-22,1579355.0,176188.679245283
2021-02-23,1588987.0,169698.11320754717
2021-02-24,1590688.0,168679.24528301888
2021-02-25,891472.0,639849.0566037736
2021-02-26,1183232.0,443245.2830188679
2021-02-27,1183232.0,443245.2830188679
2021-02-28,1183232.0,443245.2830188679
2021-03-01,1246540.0,394490.5660377359
2021-03-02,1185829.0,441245.28301886795
2021-03-03,1158487.0,462301.88679245283
2021-03-04,1148029.0,471698.11320754717
2021-03-05,1132496.0,483660.37735849054
2021-03-06,1132496.0,483660.37735849054
2021-03-07,1132496.0,483660.37735849054
2021-03-08,1020272.0,584490.5660377358
2021-03-09,800402.0,821547.1698113208
2021-03-10,655586.0,1016716.9811320755
2021-03-11,713945.0,911849.0566037735
2021-03-12,667245.1999999998,1037724.5283018869
2021-03-13,667245.1999999998,1037724.5283018869
2021-03-14,667245.1999999998,1037724.5283018869
2021-03-15,661946.8999999999,1047245.2830188678
2021-03-16,818102.8999999999,766641.5094339623
2021-03-17,787274.8999999999,822037.7358490566
2021-03-18,792650.8999999999,807547.1698113207
2021-03-19,831017.8999999999,738603.7735849057
2021-03-20,831017.8999999999,738603.7735849057
2021-03-21,831017.8999999999,738603.7735849057
2021-03-22,811004.8999999999,774566.037735849
2021-03-23,821868.8999999999,745283.0188679246
2021-03-24,877196.8999999999,596150.9433962264
2021-03-25,925482.8999999999,466000.0
2021-03-26,821616.8999999999,745962.2641509435
2021-03-27,821616.8999999999,745962.2641509435
2021-03-28,821616.8999999999,745962.2641509435
2021-03-29,833467.8999999999,682075.4716981133
2021-03-30,828742.8999999999,707547.1698113207
2021-03-31,814742.8999999999,745283.0188679246
2021-04-01,820538.8999999999,729660.3773584906
2021-04-02,820538.8999999999,729660.3773584906
2021-04-03,820538.8999999999,729660.3773584906
2021-04-04,820538.8999999999,729660.3773584906
2021-04-05,867486.5,645298.1132075471
2021-04-06,837653.8999999999,698905.6603773586
2021-04-07,841832.8999999999,691396.2264150943
2021-04-08,838108.8999999999,701433.962264151
2021-04-09,849434.8999999999,640377.358490566
2021-04-10,849434.8999999999,640377.358490566
2021-04-11,849434.8999999999,640377.358490566
2021-04-12,849434.8999999999,596641.5094339623
2021-04-13,860795.8999999999,535396.2264150943
2021-04-14,858429.8999999999,541773.5849056604
2021-04-15,817626.8999999999,615094.3396226416
2021-04-16,827426.8999999999,588679.2452830189
2021-04-17,827426.8999999999,588679.2452830189
2021-04-18,827426.8999999999,588679.2452830189
2021-04-20,810332.8999999999,619396.2264150943
2021-04-21,818368.8999999999,597735.8490566039
2021-04-22,817878.8999999999,600377.358490566
2021-04-23,824948.8999999999,562264.1509433963
2021-04-24,824948.8999999999,562264.1509433963
2021-04-27,776578.8999999999,692641.5094339623
2021-04-28,792608.8999999999,649433.962264151
2021-04-29,783242.8999999999,666264.1509433963
2021-04-30,786518.8999999999,660377.358490566
2021-05-01,786518.8999999999,660377.358490566
2021-05-06,826110.8999999999,607018.8679245283
2021-05-07,828210.8999999999,604188.6792452831
2021-05-08,828210.8999999999,604188.6792452831
2021-05-09,828210.8999999999,604188.6792452831
2021-05-10,825690.8999999999,608716.9811320755
2021-05-11,876741.8999999999,516981.1320754717
2021-05-12,864561.8999999999,549811.320754717
2021-05-13,862125.8999999999,556377.358490566
2021-05-14,835749.8999999999,603773.5849056604
2021-05-15,835749.8999999999,603773.5849056604
2021-05-18,815393.8999999999,658641.5094339623
2021-05-19,817178.8999999999,649018.8679245283
2021-05-21,817178.8999999999,645283.0188679246
2021-05-22,817178.8999999999,645283.0188679246
2021-05-23,817178.8999999999,645283.0188679246
2021-05-24,817178.8999999999,663584.9056603773
2021-05-25,820783.8999999999,683018.8679245283
2021-05-26,820783.8999999999,864150.9433962264
2021-05-27,820783.8999999999,867169.8113207548
2021-05-28,844002.8999999999,992339.6226415095
2021-05-29,844002.8999999999,992339.6226415095
2021-05-30,844002.8999999999,992339.6226415095
2021-06-10,857323.8999999999,1064150.9433962265
2021-06-11,815568.8999999999,839056.6037735849
2021-06-12,815568.8999999999,839056.6037735849
2021-06-15,821182.8999999999,854188.6792452831
2021-06-16,797830.8999999999,812226.4150943396
2021-06-17,822358.8999999999,845283.0188679246
2021-06-18,808988.8999999999,830867.9245283019
2021-06-19,808988.8999999999,830867.9245283019
2021-06-20,808988.8999999999,830867.9245283019
2021-06-21,795422.8999999999,818679.2452830188
2021-06-22,798698.8999999999,821622.641509434
2021-06-23,816926.8999999999,835660.3773584905
2021-06-24,815280.5,834550.9433962265
2021-06-25,780216.0999999999,807547.1698113207
